iter	Passed	Remaining
780	1146	321
781	1148	320
782	1149	318
783	1150	317
784	1151	315
785	1153	313
786	1154	312
787	1155	310
788	1156	309
789	1157	307
790	1159	306
791	1160	304
792	1161	303
793	1162	301
794	1163	300
795	1164	298
796	1166	296
797	1167	295
798	1170	294
799	1171	292
800	1172	291
801	1174	289
802	1175	288
803	1177	286
804	1178	285
805	1180	284
806	1182	282
807	1183	281
808	1185	279
809	1186	278
810	1188	276
811	1189	275
812	1191	274
813	1192	272
814	1194	271
815	1196	269
816	1197	268
817	1198	266
818	1199	265
819	1200	263
820	1202	262
821	1203	260
822	1204	259
823	1206	257
824	1207	256
825	1208	254
826	1211	253
827	1212	251
828	1214	250
829	1215	248
830	1216	247
831	1218	245
832	1219	244
833	1220	242
834	1222	241
835	1223	239
836	1224	238
837	1225	236
838	1226	235
839	1228	233
840	1229	232
841	1230	230
842	1232	229
843	1233	227
844	1234	226
845	1235	224
846	1237	223
847	1238	221
848	1240	220
849	1241	219
850	1242	217
851	1244	216
852	1245	214
853	1246	213
854	1248	211
855	1249	210
856	1250	208
857	1252	207
858	1254	205
859	1256	204
860	1257	203
861	1259	201
862	1261	200
863	1262	198
864	1263	197
865	1265	195
866	1266	194
867	1268	192
868	1269	191
869	1271	190
870	1273	188
871	1274	187
872	1275	185
873	1276	184
874	1278	182
875	1279	181
876	1281	179
877	1282	178
878	1283	176
879	1285	175
880	1286	173
881	1287	172
882	1288	170
883	1290	169
884	1292	167
885	1294	166
886	1295	165
887	1297	163
888	1298	162
889	1300	160
890	1301	159
891	1303	157
892	1304	156
893	1306	154
894	1307	153
895	1308	151
896	1310	150
897	1311	148
898	1312	147
899	1313	145
900	1315	144
901	1316	143
902	1317	141
903	1318	140
904	1320	138
905	1321	137
906	1322	135
907	1323	134
908	1325	132
909	1326	131
910	1328	129
911	1329	128
912	1330	126
913	1332	125
914	1334	123
915	1335	122
916	1336	121
917	1338	119
918	1339	118
919	1341	116
920	1342	115
921	1343	113
922	1344	112
923	1346	110
924	1347	109
925	1348	107
926	1349	106
927	1350	104
928	1352	103
929	1353	101
930	1354	100
931	1355	98
932	1357	97
933	1358	96
934	1359	94
935	1361	93
936	1362	91
937	1363	90
938	1364	88
939	1366	87
940	1367	85
941	1368	84
942	1369	82
943	1370	81
944	1372	79
945	1373	78
946	1374	76
947	1375	75
948	1376	73
949	1377	72
950	1378	71
951	1379	69
952	1381	68
953	1382	66
954	1383	65
955	1384	63
956	1385	62
957	1386	60
958	1388	59
959	1389	57
960	1390	56
961	1392	54
962	1393	53
963	1394	52
964	1395	50
965	1396	49
966	1398	47
967	1399	46
968	1400	44
969	1401	43
970	1403	41
971	1405	40
972	1406	39
973	1408	37
974	1409	36
975	1410	34
976	1412	33
977	1413	31
978	1414	30
979	1415	28
980	1417	27
981	1418	26
982	1419	24
983	1420	23
984	1421	21
985	1423	20
986	1423	18
987	1425	17
988	1426	15
989	1428	14
990	1429	12
991	1430	11
992	1432	10
993	1434	8
994	1435	7
995	1436	5
996	1438	4
997	1439	2
998	1441	1
999	1442	0
